algo_upload,algo_parse,algo_topo,comp_upload_avg,comp_parse_avg,comp_bench_avg,bench_total,bench_clust,bench_agg,bench_assemb,eval_mode
1022583,17045939,6544266,490029,545,3507030,4662687,194861,223041,637519,Unencrypted
885880,17950578,6566160,524632,492,3425237,4697263,114068,109396,389984,Unencrypted
979042,17034122,6657336,526140,534,3524689,4606158,180618,125222,743800,Unencrypted
1017422,17223167,6804647,570945,530,3386771,4097125,263485,172919,613558,Unencrypted
43161420,17229304,6539427,480980,526,3418916,4444688,203695,101520,468110,Unencrypted
1344826,17235793,6574873,474236,549,3566108,4495025,111791,200235,414060,Unencrypted
42138769,16955606,6818817,468245,511,3472200,4335421,255761,771498,484681,Unencrypted
847065,17479261,6870809,436395,568,3586471,5571187,207487,226824,509349,Unencrypted
800923,17344341,6844465,522753,510,3473545,4611766,272706,158526,282200,Unencrypted
1182597,17215711,6630307,471374,539,3472144,4671952,230593,78076,499993,Unencrypted
970869,17319873,6895927,466810,519,3378621,4480457,181135,150977,540097,Unencrypted
1257659,17137828,6553508,486141,498,3387085,4568422,108265,223965,510740,Unencrypted
797487,17468163,6804398,487498,550,3609650,4893484,81155,93720,426621,Unencrypted
1270837,17293027,6622753,515230,506,3314091,4503327,184218,188778,470143,Unencrypted
1264344,17093284,6688726,427603,492,3372838,4612899,198503,135582,551744,Unencrypted
800388,17534025,6825072,381573,511,3388052,4480577,85952,158126,408937,Unencrypted
41913145,17142620,6766278,496847,554,3648339,4748239,404203,196529,452700,Unencrypted
1014563,17251078,6544435,498797,492,3320585,4528314,144575,313095,538919,Unencrypted
1315234,17612738,6965352,368668,510,3426498,4812175,462750,82052,504508,Unencrypted
1213029,17312186,6576623,360168,498,3249002,4305552,121769,60858,322124,Unencrypted
868114,17400468,6568120,418668,507,3352037,4145900,318245,197112,523789,Unencrypted
949784,17078447,6604276,341289,505,3371243,4721349,116247,195340,472673,Unencrypted
1315584,17149119,6571884,418014,539,3511350,5009160,295173,171656,349094,Unencrypted
1236028,18310428,6657248,408253,585,3621825,5349777,95527,92845,548886,Unencrypted
932898,17007873,6674315,570675,528,3543183,4725963,144176,183647,409765,Unencrypted
927806,17197720,6590230,442818,503,3215312,4178708,122387,288469,510386,Unencrypted
763247,17393751,6573531,507833,524,3479460,4693047,90011,162714,531245,Unencrypted
908234,17332763,6526998,411995,514,3347357,4606735,198387,308800,436736,Unencrypted
1207314,17196270,6659584,444181,542,3375141,4732576,180606,143762,442981,Unencrypted
1331566,17176200,6608212,423909,505,3387163,4830580,198742,199772,574304,Unencrypted
814775,17385421,6578776,486144,513,3520098,4848405,110758,77419,562909,Unencrypted
1289547,17337814,6602798,474424,527,3413558,4469552,110904,114978,377070,Unencrypted
971671,17187716,6570451,431454,510,3379978,4734468,226578,76497,473497,Unencrypted
1226646,17077796,6577639,429245,488,3317424,4336222,110956,148685,570625,Unencrypted
787852,17421262,6862786,397960,497,3244455,4292951,220253,322203,405600,Unencrypted
41312910,17226039,6797741,428563,517,3491343,4696028,101711,178718,576563,Unencrypted
812471,17185170,6555242,480903,507,3347065,4252364,186760,150422,489316,Unencrypted
839409,17489798,6673732,335285,512,3307714,4468307,141344,148484,416392,Unencrypted
1213120,17382677,6649887,531212,539,3414184,4674113,99372,126585,360255,Unencrypted
823483,17425495,6886801,454085,543,3599771,4826889,214558,272576,417218,Unencrypted
857413,17390307,6613678,387587,518,3401535,4321625,184514,226167,574114,Unencrypted
41324529,16923275,6574253,389867,533,3431097,4267728,269166,83723,480525,Unencrypted
1252418,17051762,6800319,555025,529,3401236,4418401,87053,120936,346784,Unencrypted
1209888,17212626,6777958,361266,514,3400727,4519769,155309,127118,442792,Unencrypted
1034338,17115001,6626950,518979,506,3307639,4378401,128241,208241,582122,Unencrypted
43895014,16935284,6582778,414980,499,3268805,4254736,89583,66184,441492,Unencrypted
43487304,16976609,6620523,419545,528,3340653,3963427,115367,164743,495263,Unencrypted
798532,17520431,6797397,287611,544,3372245,5050677,134152,145608,691848,Unencrypted
1261753,17279307,6674062,417100,553,3661008,5153460,92866,161290,407881,Unencrypted
