name,mod,min,max,avg,99lci,99uci
comp_bench_avg,factor_enc_plain,0.3763418742977206,6.291092322075012,1.393899782806444,1.103026146171423,1.103026146171423
bench_total,factor_enc_plain,19.72381855096015,43.23120788735234,30.172729242969652,27.93867568281039,27.93867568281039
aggregation,factor_enc_plain,0.46288994011623835,2.505085656324295,1.3213248035115808,1.1498507611941546,1.1498507611941546
accuracy,factor_enc_plain,0.0,0.0,0.0,,
traffic_bytes,factor_enc_plain,0.0,0.0,0.0,,
comp_bench_avg,factor_hom_plain,77368.99921923956,310417.0797875821,237296.08093529058,218998.95167178565,255593.2101987955
bench_total,factor_hom_plain,12010.208208431703,25077.633594882915,17922.30261387491,16635.65391981341,19208.951307936408
aggregation,factor_hom_plain,65.35782982826784,205.03481898593324,136.54314115860575,124.17718857324873,148.90909374396279
accuracy,factor_hom_plain,0.0,0.0,0.0,,
traffic_bytes,factor_hom_plain,0.0,0.0,0.0,,
