algo_upload,algo_parse,algo_topo,comp_upload_avg,comp_parse_avg,comp_bench_avg,bench_total,bench_clust,bench_agg,bench_assemb,eval_mode
734327,549297,197600,493923,849,152402,3388072,71700,271888,449740,Unencrypted
1042156,605764,199306,614472,1015,170361,1904416,68277,54873,345975,Unencrypted
702197,529653,203863,585345,849,171132,2900533,64544,99846,525724,Unencrypted
493817,547592,191194,474247,1011,171038,3397235,56715,55782,437401,Unencrypted
1286631,577238,191545,541535,922,588263,3557818,138812,61067,271113,Unencrypted
519329,499042,194437,545086,822,172963,2847843,153251,110534,586752,Unencrypted
1095046,500840,191326,559341,905,153924,2045234,214068,90185,563836,Unencrypted
531513,503476,189151,430837,947,158225,3376224,99709,73846,570078,Unencrypted
1108466,491128,191463,471610,1060,192883,2203166,245630,233859,794808,Unencrypted
513198,496141,193945,571507,988,164779,2286058,107871,269792,386362,Unencrypted
1335244,495466,196756,327188,1076,171367,2601041,79542,117334,359429,Unencrypted
1009623,603937,201253,363747,993,161630,3235702,122485,52949,501240,Unencrypted
676260,575451,193453,321371,938,184497,2868998,139204,57244,302406,Unencrypted
478035,743005,368435,364451,1001,167383,2348260,656664,87530,581875,Unencrypted
440279,582525,203052,376973,935,159996,3551542,103366,78405,299100,Unencrypted
287612,495618,194503,399816,997,162791,2334463,157539,49122,287943,Unencrypted
442764,771780,323011,380213,1108,208111,2269292,126089,60004,324753,Unencrypted
431039,506380,193315,363855,880,150702,2440360,70731,82331,347009,Unencrypted
377068,514865,196880,296448,1009,165901,3452685,230570,55758,418308,Unencrypted
588010,512838,214017,344637,869,158635,2218270,57336,97224,332722,Unencrypted
177976,538279,191311,325433,1138,206746,3034205,259716,59890,293219,Unencrypted
221961,554735,194171,425414,896,158553,2267983,85840,71062,370765,Unencrypted
185663,534580,192171,341943,2053,295235,2709354,90688,44856,382389,Unencrypted
429521,497054,191996,327498,1753,242813,3552822,148988,176595,306528,Unencrypted
1276814,533365,197202,404069,1534,253605,2336089,72985,57103,379435,Unencrypted
184500,531383,196946,336119,1090,186354,3735526,266489,108346,437047,Unencrypted
451619,524334,192192,410580,947,161855,3967924,148523,74196,720596,Unencrypted
516614,527889,191590,293668,1078,208972,2625077,73108,110323,616057,Unencrypted
437686,513730,235932,353539,888,159554,2818865,146274,142553,565069,Unencrypted
472183,511612,196996,350806,1040,214239,2577613,67634,157194,643302,Unencrypted
244813,558406,197045,402935,831,152055,1954675,298328,49859,370967,Unencrypted
441394,514636,193994,326871,1067,182529,3094583,77146,102546,424124,Unencrypted
524596,499865,194400,299130,925,173128,2684820,59593,64056,296896,Unencrypted
1103395,791565,273818,306547,965,159620,2318987,145448,59395,474426,Unencrypted
573300,500065,194559,321549,907,154294,1945519,98699,85089,333856,Unencrypted
879808,742149,324370,283952,1657,228317,2182622,77288,79999,301446,Unencrypted
573994,524542,204915,297682,918,152986,2411358,203571,94292,357223,Unencrypted
442837,490060,197555,394289,996,170496,3044493,148609,48174,536284,Unencrypted
1081840,501514,192274,306560,1121,180271,3713684,103156,143140,309890,Unencrypted
422638,523881,196654,340381,1016,171431,2604864,207149,184476,279789,Unencrypted
517489,499342,195876,335083,1266,212280,2465932,126320,117957,337307,Unencrypted
306615,494064,193653,317039,1454,219536,2379462,84189,191915,717215,Unencrypted
388400,533968,191641,344906,850,241732,1928554,89559,214259,535256,Unencrypted
425933,495910,195082,389249,3719,438315,3596199,69584,107195,357693,Unencrypted
426512,510140,197695,346577,1247,212607,2966292,174184,54310,629852,Unencrypted
432918,514409,194131,334113,828,161507,2395562,101034,167253,267280,Unencrypted
475492,575892,200493,299939,2002,264509,3520004,192888,212855,542564,Unencrypted
1017211,521948,191952,312350,1079,245416,2916126,184143,40734,307534,Unencrypted
508699,541547,191886,314240,1165,197250,2495889,58569,115511,512486,Unencrypted
208888,533727,199459,291026,1239,248406,2676354,48177,40881,499441,Unencrypted
8743579,1990355,458354,8019596,1368,204020,81548097,622764,152043,465729,Enclave
8647829,1999229,611007,7770266,1384,284745,82330204,156923,188138,592018,Enclave
8615646,1866617,622596,7793151,1454,268489,74771575,177681,152244,464037,Enclave
8863040,1985505,460807,7842202,1310,198850,76758063,156778,157057,156826,Enclave
8855033,3847077,457807,8157087,1238,221388,82633087,198666,145344,371977,Enclave
8598692,1974111,459859,8069117,1476,272997,76838973,176050,177023,455723,Enclave
8913197,2142606,462795,7835764,975,221613,79276282,155446,157724,465826,Enclave
8701565,1853408,611039,7863498,1975,310954,81467771,174435,151962,455122,Enclave
8600899,1843550,610877,9131538,1204,203359,81247165,167243,155751,467102,Enclave
8587055,1992839,611291,8170743,877,195865,74267977,155044,161111,155500,Enclave
8723580,2279560,458135,8506128,1071,229545,74806315,157222,162332,304512,Enclave
8863489,1992073,610239,7875397,1353,266964,89553900,173419,460550,501520,Enclave
